airport_code
ILG
CGI
PLN
SGF
PIT
SAT
ATL
DEN
ROW
PDX
SFO
CYS
MIA
YAK
MVY
OGG
PRC
BOS
CNY
STX
MGM
FSD
RHI
ADQ
PVD
LFT
PSG
BRD
GJT
DVL
STT
STC
PSE
WRG
SFB
EWR
SBP
CID
GUM
FNT
GRR
DDC
CDC
PIH
MCI
MTJ
ACY
TRI
LAR
MCO
ISP
BJI
TUL
MLB
TLH
SBA
SPI
RDM
HHH
ATY
CKB
GST
CMH
MLU
LCK
ROA
ALS
SPN
HTS
DSM
SAV
STL
CMI
PHF
SCC
RIW
IDA
BZN
SUX
BFL
BNA
BIL
BIH
TVC
SPS
CHA
GPT
BGM
IAD
DAB
MEI
YKM
ONT
CAE
SHV
PIA
JMS
RAP
CWA
LAN
LBB
FAI
HYS
LGB
LIH
ABE
CMX
BRO
GGG
PSM
SCK
TPA
FAY
VCT
ABY
EUG
SRQ
OGD
DLH
RIC
RDD
GTF
ATW
SLC
ERI
ESC
YUM
CAK
CHS
JAC
PHX
AKN
TTN
KTN
CLT
OTH
ORD
MOB
SCE
EWN
ACK
FLG
AZO
BKG
VLD
SMX
ANC
OKC
ORF
JNU
MLI
PUB
BUF
IAG
PSC
ADK
OTZ
GFK
LIT
BOI
LGA
EAU
ELP
RKS
AVP
OAK
OWB
XNA
AMA
ELM
IAH
AEX
DRO
ALB
AZA
RNO
SDF
HOB
PQI
ITH
IND
XWA
EAR
SHR
DEC
PIE
PUW
JAN
ILM
DCA
FOD
DBQ
BWI
COS
BMI
COU
EGE
PIB
GUC
CDV
TYR
MOT
CHO
MAF
BUR
PIR
SGU
OGS
PNS
ORH
BTM
GCC
EKO
MSY
DAY
OMA
BFF
OAJ
GNV
EYW
MSN
AVL
SBN
MFR
PGV
ABR
ACV
SJC
GRI
ABI
VPS
DAL
JAX
MFE
RDU
PGD
PBG
HRL
SIT
GTR
ECP
BTR
ITO
JLN
MHK
BET
FLL
LSE
MSO
INL
SMF
LAW
FSM
DIK
COD
RFD
ALO
HYA
FAT
PWM
ICT
BTV
DRT
VEL
HOU
BIS
EVV
HIB
BQK
MHT
SJT
OME
FLO
GRK
LEX
RST
GSO
LBL
APN
SYR
SHD
HLN
DFW
HGR
SBY
SLN
SWF
CRW
LCH
CVG
CRP
ACT
CIU
HPN
AUS
BPT
SNA
LBE
LYH
BGR
SAN
DHN
LAX
RSW
TUS
SJU
DTW
MDW
AGS
TOL
ABQ
PAH
BQN
KOA
LWS
MDT
FCA
GCK
MCW
ALW
PPG
BLV
MKE
PVU
LAS
CLL
PBI
EAT
HNL
BDL
SAF
STS
BLI
ASE
MBS
BHM
TBN
MYR
PAE
DLG
MRY
JST
IMT
MSP
MQT
CLE
FWA
TWF
LRD
HSV
PSP
LBF
TXK
GSP
TYS
MKG
LWB
USA
ROC
MEM
JFK
SUN
CSG
PHL
SEA
GRB
GEG
CPR
FAR
HDN
ART
BRW
WYS
SWO
LNK
